date,unemployment benefits,severance,linkedin,jobs near me,indeed
2024-06-16,4.918367346938776,2.418300653594771,53.71404541631623,36.67124227865477,65.98666243251826
2024-06-23,3.6887755102040822,3.6274509803921564,54.93481917577796,37.8936170212766,67.20863766275008
2024-06-30,3.6887755102040822,2.418300653594771,40.285534062237176,36.67124227865477,56.21086059066371
2024-07-07,7.3775510204081645,3.6274509803921564,50.05172413793103,37.8936170212766,63.54271197205462
2024-07-14,7.3775510204081645,2.418300653594771,52.493271656854496,37.8936170212766,64.76468720228644
2024-07-21,6.14795918367347,2.418300653594771,51.27249789739277,37.8936170212766,63.54271197205462
2024-07-28,4.918367346938776,3.6274509803921564,51.27249789739277,35.44886753603294,65.98666243251826
2024-08-04,4.918367346938776,2.418300653594771,53.71404541631623,36.67124227865477,64.76468720228644
2024-08-11,4.918367346938776,2.418300653594771,58.59714045416316,37.8936170212766,63.54271197205462
2024-08-18,4.918367346938776,2.418300653594771,61.038687973086624,39.11599176389842,63.54271197205462
2024-08-25,4.918367346938776,2.418300653594771,61.038687973086624,36.67124227865477,58.65481105112734
2024-09-01,3.6887755102040822,2.418300653594771,51.27249789739277,35.44886753603294,57.43283582089553
2024-09-08,3.6887755102040822,2.418300653594771,57.376366694701424,42.7831159917639,56.21086059066371
2024-09-15,3.6887755102040822,2.418300653594771,58.59714045416316,30.55936856554564,59.87678628135916
2024-09-22,3.6887755102040822,2.418300653594771,57.376366694701424,33.004118050789295,57.43283582089553
2024-09-29,3.6887755102040822,2.418300653594771,59.817914213624896,34.22649279341112,54.98888536043189
2024-10-06,3.6887755102040822,2.418300653594771,63.48023549201009,33.004118050789295,53.76691013020007
2024-10-13,3.6887755102040822,2.418300653594771,59.817914213624896,31.781743308167467,52.54493489996825
2024-10-20,3.6887755102040822,3.6274509803921564,61.038687973086624,35.44886753603294,54.98888536043189
2024-10-27,3.6887755102040822,2.418300653594771,57.376366694701424,31.781743308167467,51.32295966973643
2024-11-03,3.6887755102040822,2.418300653594771,51.27249789739277,29.336993822923816,50.10098443950461
2024-11-10,3.6887755102040822,2.418300653594771,54.93481917577796,30.55936856554564,48.87900920927279
2024-11-17,3.6887755102040822,2.418300653594771,56.155592935239696,33.004118050789295,46.43505874880915
2024-11-24,3.6887755102040822,2.418300653594771,39.06476030277544,25.669869595058337,35.43728167672277
2024-12-01,4.918367346938776,3.6274509803921564,52.493271656854496,31.781743308167467,47.65703397904097
2024-12-08,3.6887755102040822,3.6274509803921564,53.71404541631623,29.336993822923816,42.76913305811369
2024-12-15,3.6887755102040822,3.6274509803921564,51.27249789739277,29.336993822923816,43.99110828834551
2024-12-22,3.6887755102040822,4.836601307189542,32.960891505466776,24.447494852436513,34.21530644649095
2024-12-29,3.6887755102040822,7.254901960784313,40.285534062237176,33.004118050789295,45.21308351857733
2025-01-05,4.918367346938776,10.88235294117647,63.48023549201009,34.22649279341112,58.65481105112734
2025-01-12,4.918367346938776,24.18300653594771,58.59714045416316,34.22649279341112,57.43283582089553
2025-01-19,3.6887755102040822,24.18300653594771,61.038687973086624,31.781743308167467,56.21086059066371
2025-01-26,4.918367346938776,22.973856209150327,62.25946173254836,34.22649279341112,56.21086059066371
2025-02-02,3.6887755102040822,22.973856209150327,62.25946173254836,34.22649279341112,57.43283582089553
2025-02-09,3.6887755102040822,22.973856209150327,64.70100925147182,30.55936856554564,51.32295966973643
2025-02-16,4.918367346938776,29.01960784313725,65.92178301093355,31.781743308167467,59.87678628135916
2025-02-23,3.6887755102040822,26.60130718954248,68.36333052985702,33.004118050789295,52.54493489996825
2025-03-02,3.6887755102040822,31.437908496732025,65.92178301093355,31.781743308167467,54.98888536043189
2025-03-09,4.918367346938776,30.22875816993464,64.70100925147182,30.55936856554564,50.10098443950461
2025-03-16,3.6887755102040822,37.48366013071895,62.25946173254836,33.004118050789295,50.10098443950461
2025-03-23,3.6887755102040822,30.22875816993464,64.70100925147182,31.781743308167467,48.87900920927279
2025-03-30,4.918367346938776,19.34640522875817,63.48023549201009,33.004118050789295,51.32295966973643
