,CA,TX,FL
1997-07-26,52331.0,13412.0,9449.0
1997-08-02,56968.0,12756.0,9116.0
1997-08-09,59982.0,16415.0,9053.0
1997-08-16,54994.0,13255.0,9179.0
1997-08-23,51142.0,12541.0,8797.0
1997-08-30,51232.0,11746.0,8512.0
1997-09-06,47646.0,12298.0,7153.0
1997-09-13,53027.0,10941.0,8056.0
1997-09-20,55178.0,13637.0,8243.0
1997-09-27,57656.0,10907.0,7418.0
1997-10-04,61057.0,11524.0,8347.0
1997-10-11,61004.0,15349.0,9049.0
1997-10-18,56696.0,12782.0,7623.0
1997-10-25,58726.0,12555.0,7843.0
1997-11-01,61238.0,12466.0,7176.0
1997-11-08,69818.0,13491.0,7440.0
1997-11-15,68715.0,13964.0,7131.0
1997-11-22,66196.0,13732.0,7743.0
1997-11-29,63565.0,15674.0,5506.0
1997-12-06,69482.0,11798.0,7814.0
1997-12-13,59282.0,13025.0,7233.0
1997-12-20,60532.0,16227.0,6963.0
1997-12-27,51205.0,19102.0,5724.0
1998-01-03,47257.0,5999.0,5065.0
1998-01-10,67168.0,18258.0,10339.0
1998-01-17,67491.0,16742.0,9502.0
1998-01-24,54169.0,13927.0,7205.0
1998-01-31,64991.0,11909.0,7829.0
1998-02-07,86637.0,13022.0,7563.0
1998-02-14,67882.0,11977.0,7477.0
1998-02-21,62915.0,11879.0,6794.0
1998-02-28,62904.0,10244.0,6775.0
1998-03-07,62061.0,13337.0,7860.0
1998-03-14,56415.0,12127.0,6944.0
1998-03-21,55107.0,13227.0,6819.0
1998-03-28,56939.0,13038.0,6516.0
